quarter,metric,first_release_date,first_value,latest_value,last_update_date,base_year
2022-Q1,exports_comp_yoy,2026-05-30,12.3,12.3,2026-06-13,2015
2022-Q2,exports_comp_yoy,2026-05-30,15.4,15.4,2026-06-13,2015
2022-Q3,exports_comp_yoy,2026-05-30,21.9,21.9,2026-06-13,2015
2022-Q4,exports_comp_yoy,2026-05-30,8.8,8.8,2026-06-13,2015
2023-Q1,exports_comp_yoy,2026-05-30,-2.1,-2.1,2026-06-13,2015
2023-Q2,exports_comp_yoy,2026-05-30,-8.9,-8.9,2026-06-13,2015
2023-Q3,exports_comp_yoy,2026-05-30,-12.0,-12.0,2026-06-13,2015
2023-Q4,exports_comp_yoy,2026-05-30,-7.9,-7.9,2026-06-13,2015
2024-Q1,exports_comp_yoy,2026-05-30,5.6,5.6,2026-06-13,2015
2024-Q2,exports_comp_yoy,2026-05-30,8.5,8.5,2026-06-13,2015
2024-Q3,exports_comp_yoy,2026-05-30,11.4,11.4,2026-06-13,2015
2024-Q4,exports_comp_yoy,2026-05-30,8.8,8.8,2026-06-13,2015
2025-Q1,exports_comp_yoy,2026-05-30,4.3,4.3,2026-06-13,2015
2025-Q2,exports_comp_yoy,2026-05-30,4.5,4.5,2026-06-13,2015
2025-Q3,exports_comp_yoy,2026-05-30,4.6,4.6,2026-06-13,2015
2025-Q4,exports_comp_yoy,2026-05-30,6.3,6.3,2026-06-13,2015
2026-Q1,exports_comp_yoy,2026-05-30,5.2,5.2,2026-06-13,2015
2016-Q1,imports_comp_yoy,2026-05-30,2.4,2.4,2026-06-13,2015
2016-Q2,imports_comp_yoy,2026-05-30,2.8,2.8,2026-06-13,2015
2016-Q3,imports_comp_yoy,2026-05-30,-1.4,-1.4,2026-06-13,2015
2016-Q4,imports_comp_yoy,2026-05-30,2.1,2.1,2026-06-13,2015
2017-Q1,imports_comp_yoy,2026-05-30,13.0,13.0,2026-06-13,2015
2017-Q2,imports_comp_yoy,2026-05-30,9.6,9.6,2026-06-13,2015
2017-Q3,imports_comp_yoy,2026-05-30,12.2,12.2,2026-06-13,2015
2017-Q4,imports_comp_yoy,2026-05-30,6.2,6.2,2026-06-13,2015
2018-Q1,imports_comp_yoy,2026-05-30,-2.0,-2.0,2026-06-13,2015
2018-Q2,imports_comp_yoy,2026-05-30,3.7,3.7,2026-06-13,2015
2018-Q3,imports_comp_yoy,2026-05-30,2.3,2.3,2026-06-13,2015
2018-Q4,imports_comp_yoy,2026-05-30,2.0,2.0,2026-06-13,2015
2019-Q1,imports_comp_yoy,2026-05-30,-1.6,-1.6,2026-06-13,2015
2019-Q2,imports_comp_yoy,2026-05-30,-2.3,-2.3,2026-06-13,2015
2019-Q3,imports_comp_yoy,2026-05-30,-3.3,-3.3,2026-06-13,2015
2019-Q4,imports_comp_yoy,2026-05-30,-2.3,-2.3,2026-06-13,2015
2020-Q1,imports_comp_yoy,2026-05-30,-1.9,-1.9,2026-06-13,2015
